Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,53.66991939,54.05678416,54.38328146,54.71029191,55.11993267,55.63110181,56.07554362,56.70312635,57.41444867,58.08670776,58.67971488,59.55248991,60.24899733,60.89006192,61.63924134,62.5665628,63.07892913,63.85051188,64.82538309,65.81027009,66.63505059,67.1851008,67.57844975,67.80437614,67.945127,68.15441246,67.75589043,67.56748015,67.61407358,67.74970507,67.79674653,68.52310359,69.02176302,69.29824561,69.47196871,69.66784523,69.45072115,69.32628056,69.2794207,69.26127746,69.24042134,69.32334388,69.42163551,69.55482029,69.73474989,69.93532005,69.85738937,69.69038351,69.44592435,69.15972599,68.83809224,68.88560061,68.98693448,69.10885138,69.18110509,69.1597742,69.13761538,68.94633943,68.64660589
Afghanistan,AFG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,55.06084102,54.73792752,54.55853274,54.46502511,54.39103249,54.30930304,53.95559201,53.65164137,53.39364823,53.19026204,53.04314386,52.6932681,52.43530035,52.25242657,52.13681679,52.09805062,51.81646304,51.58404186,51.41110266,51.33050671,51.3855003,51.08235681,50.83268594,50.62900541,50.43249539,50.18463408,49.99050372,49.92051383,49.89523589,49.78777689,49.45923836,49.54030813,49.60984557,49.62835572,49.66188555,49.81294163,49.55905918,49.30437504,49.10366498,48.95342009,48.81468211,48.90546984,49.09874752,49.34294013,49.61243489,49.91287028,49.75843687,49.60312962,49.48568076,49.4439988,49.49372303,49.94394771,50.5239467,51.1931218,51.90783594,52.64429883,53.2079642,53.76322252,54.32489755
Angola,AGO,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,54.86098546,54.16411762,53.43894372,52.83845747,52.51014639,52.4732912,52.42507888,52.59212333,52.71513251,52.55811653,52.08055868,51.95674331,51.63903573,51.28569322,51.10202355,51.15401481,50.86244141,50.93954061,51.18908977,51.35370555,51.32759457,51.15544961,50.82013191,50.43060559,50.1509867,50.04805763,49.82559781,49.76806605,49.81903768,49.89809055,49.97046011,49.8515826,49.78459973,49.76437182,49.79523831,49.87844568,49.84312242,49.87281101,49.95624561,50.08047271,50.23328696,50.24130825,50.29598302,50.38343173,50.48632474,50.58962307,50.54945928,50.53908894,50.54569505,50.56459942,50.59763029,50.50803527,50.46797763,50.47179249,50.51979678,50.61516696,50.68562911,50.80778714,50.97470164
Albania,ALB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,54.43343581,54.06735487,53.69376285,53.35197169,53.11027026,53.00893221,52.95328648,53.06192902,53.29185393,53.58091449,53.89474252,54.27467851,54.63919264,55.02295895,55.47509248,56.00808879,56.47272212,57.03333287,57.63744486,58.2116114,58.7200161,59.17331439,59.56860883,59.91958862,60.24826627,60.55820306,60.81790624,61.0436066,61.24633198,61.46117544,61.73033892,61.45698917,61.23249553,61.07131356,60.94690672,60.8253109,61.21760738,61.5670544,61.88800398,62.22271966,62.60814516,63.01736522,63.47476974,63.97268397,64.48562462,64.9983964,65.52240419,65.96118389,66.33378604,66.6470908,66.89951198,67.51370625,68.01189803,68.37295397,68.59902531,68.70472473,68.66009247,68.64261422,68.58239036
Andorra,AND,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,53.21522749,52.81864008,52.47073282,52.1826215,51.97682626,51.86163509,51.62893402,51.51813642,51.49276016,51.51443092,51.56699989,51.48861367,51.47679992,51.51629413,51.5903054,51.68325948,51.73185686,51.80864126,51.90807415,52.03225124,52.1832851,52.26892034,52.39082381,52.54105686,52.71052825,52.89471428,52.97253635,53.09105074,53.23805318,53.41290734,53.58648504,53.82667428,54.01474025,54.35421154,54.74358984,55.25698427,55.66744896,56.10643736,56.56280085,57.02961617,57.50703418,58.01184516,58.52829436,59.04708186,59.55671194,60.04662276,60.53094072,60.98948377,61.40377281,61.75729714,62.04268459,62.27120648,62.43942519,62.55592646,62.64161269,62.71405096,62.65945588,62.64962774,62.6616874
United Arab Emirates,ARE,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,52.00285659,53.42077067,54.96708825,56.50763206,57.98578663,59.37927491,60.70910637,61.83741628,62.72785514,63.3792207,63.76421024,66.34675335,68.33618351,69.63869405,70.27859605,70.35916404,71.10179614,71.45472051,71.33336844,70.91974341,70.44008439,69.74758574,69.04892317,68.29491257,67.51295044,66.77390123,66.63857354,66.70994356,66.9268487,67.27025447,67.73519606,68.51596131,69.303095,70.08907392,70.86844623,71.61227946,71.98858977,72.38217808,72.62799773,72.7420859,72.86412968,75.06460586,77.00266502,78.59847648,79.84338478,80.77112609,82.65515434,84.06349786,85.01002964,85.64911438,86.15810923,85.83389303,85.61541114,85.41015296,85.16720162,84.90274104,84.62749627,84.46089959,84.31148965
Argentina,ARG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,63.41799704,63.37707843,63.39264897,63.44777716,63.51709152,63.58564779,63.58837799,63.60028173,63.61417969,63.62200225,63.61566632,63.52782723,63.42785463,63.3133715,63.17871809,63.01815186,62.72091407,62.38861518,62.0455114,61.73074434,61.46625487,61.12061976,60.91252066,60.78542626,60.66594337,60.52532478,60.48475773,60.37105715,60.25057226,60.21321175,60.29159514,60.28886605,60.40590258,60.59944873,60.80208537,60.98319263,61.13575541,61.29153899,61.44964076,61.6205766,61.80916887,62.02043897,62.21343388,62.40214863,62.6052674,62.82861017,62.99229028,63.19978722,63.42378873,63.62133458,63.76901689,63.88072264,63.94712888,63.98269221,64.01546985,64.06001976,64.06056661,64.08352251,64.12127729
Armenia,ARM,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,54.9970893,54.1164218,53.46285641,53.02308746,52.76752785,52.69388994,52.80861358,53.14974347,53.68655678,54.35619718,55.10512984,56.13821188,57.09190692,58.00431733,58.94407134,59.93213683,60.71611124,61.58135677,62.44039451,63.18344146,63.77031855,64.1887668,64.44362616,64.57485422,64.65152929,64.70458102,64.72736202,64.71582559,64.64166699,64.49650132,64.3240533,63.89794988,63.44406339,63.00603489,62.63640619,62.36123665,62.50125859,62.81356833,63.25149492,63.72758109,64.17314229,64.76078995,65.20660334,65.59084168,66.04471593,66.63853547,67.1672007,67.8599463,68.59883245,69.19886901,69.54546924,69.69530735,69.67964458,69.52199554,69.29291181,69.04257075,68.7610583,68.44896633,68.11276042
American Samoa,ASM,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
