days,dates,day1,compartment,population,susceptibles,isolated,infected,accumulatedinfected,tested_mit,infectednotisolated,confirmed,deaths,recovered,beta,susceptibleprop,newtested_mit,newinfected,newisolated,newisolatedinfected,newconfirmed,newrecovered,requireddxtests,actualdxtests,newdeaths,truepositives,falsepositives,truenegatives,falsenegatives,ppv,npv,incidence,prevalence
10,2020-01-29,10,Hospitals,82500.0,82494.6,0.0,5.4,4.4,0.0,5.4,0.0,0.0,0.0,0.0,1.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-01-30,11,Hospitals,82500.0,82493.4,0.0,6.5,5.6,0.0,6.5,0.0,0.0,0.1,0.0,1.0,0.0,1.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-01-31,12,Hospitals,82500.0,82491.8,0.0,8.0,7.2,0.0,8.0,0.0,0.0,0.2,0.0,1.0,0.0,1.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-02-01,13,Hospitals,82500.0,82489.9,0.0,9.8,9.1,0.0,9.8,0.0,0.0,0.3,0.0,1.0,0.0,1.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-02-02,14,Hospitals,82500.0,82487.5,0.0,12.1,11.5,0.0,12.1,0.0,0.0,0.4,0.0,1.0,0.0,2.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-02-03,15,Hospitals,82500.0,82484.6,0.0,14.8,14.4,0.0,14.8,0.0,0.0,0.5,0.0,1.0,0.0,2.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-02-04,16,Hospitals,82500.0,82481.1,0.0,18.2,17.9,0.0,18.2,0.0,0.0,0.7,0.0,1.0,0.0,3.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-02-05,17,Hospitals,82500.0,82476.7,0.0,22.3,22.3,0.0,22.3,0.0,0.0,1.0,0.0,1.0,0.0,4.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-02-06,18,Hospitals,82500.0,82471.4,0.0,27.4,27.6,0.0,27.4,0.0,0.0,1.2,0.0,1.0,0.0,5.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-02-07,19,Hospitals,82500.0,82464.8,0.0,33.7,34.2,0.0,33.7,0.0,0.0,1.6,0.0,1.0,0.0,6.6,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-02-08,20,Hospitals,82500.0,82456.7,0.0,41.3,42.3,0.0,41.3,0.0,0.0,2.0,0.0,1.0,0.0,8.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
21,2020-02-09,21,Hospitals,82500.0,82446.8,0.0,50.7,52.2,0.0,50.7,0.0,0.0,2.5,0.0,1.0,0.0,9.9,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
22,2020-02-10,22,Hospitals,82500.0,82434.6,0.0,62.2,64.4,0.0,62.2,0.0,0.0,3.2,0.0,1.0,0.0,12.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
23,2020-02-11,23,Hospitals,82500.0,82419.6,0.0,76.4,79.4,0.0,76.4,0.0,0.0,4.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
24,2020-02-12,24,Hospitals,82500.0,82401.2,0.0,93.8,97.8,0.0,93.8,0.0,0.0,4.9,0.0,1.0,0.0,18.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
25,2020-02-13,25,Hospitals,82500.0,82378.7,0.0,115.2,120.3,0.0,115.2,0.0,0.0,6.1,0.0,1.0,0.0,22.5,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
26,2020-02-14,26,Hospitals,82500.0,82351.0,0.0,141.4,148.0,0.0,141.4,0.0,0.0,7.6,0.0,1.0,0.0,27.7,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
27,2020-02-15,27,Hospitals,82500.0,82317.0,0.0,173.5,182.0,0.0,173.5,0.0,0.0,9.4,0.0,1.0,0.0,34.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
28,2020-02-16,28,Hospitals,82500.0,82275.3,0.0,213.0,223.7,0.0,213.0,0.0,0.0,11.6,0.0,1.0,0.0,41.7,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003
29,2020-02-17,29,Hospitals,82500.0,82224.2,0.0,261.5,274.8,0.0,261.5,0.0,0.0,14.3,0.0,1.0,0.0,51.2,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003
30,2020-02-18,30,Hospitals,82500.0,82161.4,0.0,321.0,337.6,0.0,321.0,0.0,0.0,17.7,0.0,1.0,0.0,62.8,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004
31,2020-02-19,31,Hospitals,82500.0,82084.3,0.0,393.9,414.7,0.0,393.9,0.0,0.0,21.8,0.0,1.0,0.0,77.1,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005
32,2020-02-20,32,Hospitals,82500.0,81989.8,0.0,483.4,509.2,0.0,483.4,0.0,0.0,26.8,0.0,1.0,0.0,94.6,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.006
33,2020-02-21,33,Hospitals,82500.0,81873.7,0.0,593.3,625.3,0.0,593.3,0.0,0.0,33.0,0.0,1.0,0.0,116.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.008
34,2020-02-22,34,Hospitals,82500.0,81731.5,0.0,728.0,767.5,0.0,728.0,0.0,0.0,40.5,0.0,1.0,0.0,142.3,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.009
35,2020-02-23,35,Hospitals,82500.0,81557.0,0.0,893.2,942.0,0.0,893.2,0.0,0.0,49.8,0.0,1.0,0.0,174.5,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.011
36,2020-02-24,36,Hospitals,82499.9,81343.0,0.0,1095.7,1156.0,0.0,1095.7,0.0,0.1,61.2,0.0,1.0,0.0,213.9,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.014
37,2020-02-25,37,Hospitals,82499.9,81080.8,0.0,1343.9,1418.2,0.0,1343.9,0.0,0.1,75.2,0.0,1.0,0.0,262.2,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.017
38,2020-02-26,38,Hospitals,82499.9,80759.5,0.0,1648.0,1739.5,0.0,1648.0,0.0,0.1,92.4,0.0,1.0,0.0,321.3,0.0,0.0,0.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.021
39,2020-02-27,39,Hospitals,82499.9,80365.9,0.0,2020.4,2133.1,0.0,2020.4,0.0,0.1,113.6,0.0,1.0,0.0,393.5,0.0,0.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.026
40,2020-02-28,40,Hospitals,82499.9,79884.3,0.0,2476.1,2614.7,0.0,2476.1,0.0,0.1,139.5,0.0,1.0,0.0,481.7,0.0,0.0,0.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.032
41,2020-02-29,41,Hospitals,82499.8,79295.1,0.0,3033.5,3203.9,0.0,3033.5,0.0,0.2,171.3,0.0,1.0,0.0,589.2,0.0,0.0,0.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.039
42,2020-03-01,42,Hospitals,82499.8,78574.9,0.0,3714.5,3924.1,0.0,3714.5,0.0,0.2,210.3,0.0,1.0,0.0,720.1,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.048
43,2020-03-02,43,Hospitals,82499.8,77695.7,0.0,4545.8,4803.3,0.0,4545.8,0.0,0.2,258.2,0.0,0.9,0.0,879.2,0.0,0.0,0.0,47.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.058
44,2020-03-03,44,Hospitals,82499.7,76623.7,0.0,5559.0,5875.3,0.0,5559.0,0.0,0.3,317.0,0.0,0.9,0.0,1072.1,0.0,0.0,0.0,58.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.071
45,2020-03-04,45,Hospitals,82499.6,75424.6,0.0,6685.9,7074.4,0.0,6685.9,0.0,0.4,389.1,0.0,0.9,0.0,1199.1,0.0,0.0,0.0,72.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.086
46,2020-03-05,46,Hospitals,82499.5,74096.6,0.0,7925.3,8402.4,0.0,7925.3,0.0,0.5,477.7,0.0,0.9,0.0,1328.0,0.0,0.0,0.0,88.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.102
47,2020-03-06,47,Hospitals,82499.4,72643.1,0.0,9270.1,9855.9,0.0,9270.1,0.0,0.6,586.2,0.0,0.9,0.0,1453.5,0.0,0.0,0.0,108.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.119
48,2020-03-07,48,Hospitals,82499.3,71075.5,0.0,10704.5,11423.5,0.0,10704.5,0.0,0.7,719.4,0.0,0.9,0.0,1567.7,0.0,0.0,0.0,133.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.138
49,2020-03-08,49,Hospitals,82499.2,69439.4,0.0,12177.0,13059.6,0.0,12177.0,0.0,0.8,882.7,0.0,0.8,0.0,1636.0,0.0,0.0,0.0,163.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.158
50,2020-03-09,50,Hospitals,82499.0,67791.0,186.7,13625.0,14708.0,264.3,13438.3,186.7,1.0,1082.9,0.0,0.8,264.3,1648.4,186.7,183.1,186.7,200.2,0.0,0.0,0.2,183.1,3.6,67.9,9.6,0.981,0.876,0.02,0.178
51,2020-03-10,51,Hospitals,82498.7,66196.1,363.0,14974.3,16302.9,528.6,14611.3,381.7,1.3,1328.3,0.0,0.8,264.3,1594.9,195.0,191.9,195.0,245.4,0.0,0.0,0.2,191.9,3.1,59.2,10.1,0.984,0.854,0.019,0.198
52,2020-03-11,52,Hospitals,82498.4,64729.3,528.7,16140.2,17769.7,792.9,15611.5,583.7,1.6,1628.9,0.0,0.8,264.3,1466.8,202.0,199.2,202.0,300.6,0.0,0.0,0.3,199.2,2.7,51.8,10.5,0.986,0.832,0.018,0.215
53,2020-03-12,53,Hospitals,82498.1,63473.7,683.6,17027.4,19025.3,1057.1,16343.8,791.4,1.9,1997.0,0.0,0.8,264.3,1255.6,207.8,205.4,207.8,368.1,0.0,0.0,0.4,205.4,2.4,45.7,10.8,0.988,0.809,0.015,0.231
54,2020-03-13,54,Hospitals,82497.6,62519.5,827.9,17530.6,19979.5,1321.4,16702.7,1004.1,2.4,2447.5,0.0,0.8,264.3,954.2,212.6,210.5,212.6,450.5,0.0,0.0,0.4,210.5,2.1,40.6,11.1,0.99,0.785,0.012,0.242
55,2020-03-14,55,Hospitals,82497.1,61495.0,961.7,18003.8,21004.0,1585.7,17042.0,1220.7,2.9,2998.4,0.0,0.7,264.3,1024.6,216.6,214.7,216.6,550.9,0.0,0.0,0.5,214.7,1.9,36.4,11.3,0.991,0.763,0.012,0.255
56,2020-03-15,56,Hospitals,82496.4,60413.6,1085.0,18422.0,22085.4,1850.0,17337.0,1440.1,3.6,3660.9,0.0,0.7,264.3,1081.4,219.4,217.7,219.4,662.5,0.0,0.0,0.7,217.7,1.8,33.4,11.5,0.992,0.745,0.013,0.268
57,2020-03-16,57,Hospitals,82495.6,59292.9,976.5,18756.5,23206.1,1850.0,17780.0,1440.1,4.4,4446.3,0.0,0.7,0.0,1120.7,0.0,0.0,0.0,785.4,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.281
58,2020-03-17,58,Hospitals,82494.7,58155.1,878.8,18974.7,24343.9,1850.0,18095.9,1440.1,5.3,5364.9,0.0,0.7,0.0,1137.8,0.0,0.0,0.0,918.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.295
59,2020-03-18,59,Hospitals,82493.4,57002.6,1173.1,19065.2,25496.4,2300.0,17892.1,1822.2,6.6,6425.7,0.0,0.7,450.0,1152.5,382.1,379.6,382.1,1060.8,0.0,0.0,1.2,379.6,2.5,47.9,20.0,0.993,0.706,0.014,0.309
60,2020-03-19,60,Hospitals,82491.9,55839.4,1438.7,19020.2,26659.6,2750.0,17581.5,2205.2,8.1,7632.3,0.0,0.7,450.0,1163.2,383.0,380.5,383.0,1206.7,0.0,0.0,1.5,380.5,2.5,47.0,20.0,0.994,0.701,0.014,0.323
61,2020-03-20,61,Hospitals,82490.1,54665.7,1678.6,18841.9,27833.3,3200.0,17163.3,2589.0,9.9,8982.5,0.0,0.7,450.0,1173.7,383.8,381.3,383.8,1350.2,0.0,0.0,1.8,381.3,2.4,46.2,20.1,0.994,0.697,0.014,0.337
62,2020-03-21,62,Hospitals,82487.9,53489.4,1895.2,18532.1,29009.6,3650.0,16636.8,2973.5,12.1,10466.4,0.0,0.6,450.0,1176.3,384.4,382.1,384.4,1483.9,0.0,0.0,2.2,382.1,2.4,45.4,20.1,0.994,0.693,0.014,0.352
63,2020-03-22,63,Hospitals,82485.1,52327.6,2091.1,18091.7,30171.4,4100.0,16000.6,3358.9,14.9,12065.8,0.0,0.6,450.0,1161.8,385.4,383.1,385.4,1599.4,0.0,0.0,2.7,383.1,2.3,44.4,20.2,0.994,0.688,0.014,0.366
64,2020-03-23,64,Hospitals,82481.8,51187.3,2268.1,17541.3,31311.7,4550.0,15273.2,3744.9,18.2,13753.2,0.0,0.6,450.0,1140.3,386.1,383.8,386.1,1687.3,0.0,0.0,3.4,383.8,2.3,43.7,20.2,0.994,0.684,0.014,0.38
65,2020-03-24,65,Hospitals,82477.7,50075.0,2426.9,16912.3,32424.0,5000.0,14485.4,4130.6,22.3,15490.4,0.0,0.6,450.0,1112.3,385.6,383.3,385.6,1737.2,0.0,0.0,4.1,383.3,2.3,44.2,20.2,0.994,0.687,0.013,0.393
66,2020-03-25,66,Hospitals,82472.6,48996.7,2184.2,16201.5,33502.3,5000.0,14017.3,4130.6,27.4,17274.5,0.0,0.6,0.0,1078.3,0.0,0.0,0.0,1784.1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.406
67,2020-03-26,67,Hospitals,82466.6,47957.8,1965.8,15408.7,34541.2,5000.0,13443.0,4130.6,33.4,19100.0,0.0,0.6,0.0,1038.8,0.0,0.0,0.0,1825.5,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.419
68,2020-03-27,68,Hospitals,82459.4,46962.3,1769.2,14538.4,35536.7,5000.0,12769.2,4130.6,40.6,20958.7,0.0,0.6,0.0,995.5,0.0,0.0,0.0,1858.7,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.431
69,2020-03-28,69,Hospitals,82451.0,46012.0,1592.3,13600.0,36487.0,5000.0,12007.7,4130.6,49.0,22839.0,0.0,0.6,0.0,950.3,0.0,0.0,0.0,1880.3,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.443
70,2020-03-29,70,Hospitals,82441.4,45101.2,1433.1,12611.9,37397.8,5000.0,11178.8,4130.6,58.6,24728.3,0.0,0.5,0.0,910.8,0.0,0.0,0.0,1889.3,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.454
71,2020-03-30,71,Hospitals,82430.3,44232.8,1289.8,11584.4,38266.2,5000.0,10294.6,4130.6,69.7,26613.1,0.0,0.5,0.0,868.3,0.0,0.0,0.0,1884.8,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.464
72,2020-03-31,72,Hospitals,82418.0,43409.7,1160.8,10528.1,39089.3,5000.0,9367.3,4130.6,82.0,28480.3,0.0,0.5,0.0,823.2,0.0,0.0,0.0,1867.2,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.474
73,2020-04-01,73,Hospitals,82404.5,42633.8,1044.7,9454.0,39865.2,5000.0,8409.3,4130.6,95.5,30316.7,0.0,0.5,0.0,775.9,0.0,0.0,0.0,1836.4,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.484
74,2020-04-02,74,Hospitals,82389.9,41906.4,940.2,8374.0,40592.6,5000.0,7433.7,4130.6,110.1,32109.5,0.0,0.5,0.0,727.4,0.0,0.0,0.0,1792.8,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.493
75,2020-04-03,75,Hospitals,82374.5,41188.6,846.2,7338.1,41310.4,5000.0,6491.9,4130.6,125.5,33847.8,0.0,0.5,0.0,717.8,0.0,0.0,0.0,1738.3,0.0,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.501
76,2020-04-04,76,Hospitals,82358.6,40486.6,1801.5,6348.4,42012.4,6284.0,4546.9,5170.5,141.4,35523.7,0.0,0.5,1284.0,702.1,1039.9,1029.9,1039.9,1675.9,0.0,0.0,15.9,1029.9,10.0,189.9,54.2,0.99,0.778,0.009,0.51
77,2020-04-05,77,Hospitals,82342.4,39805.9,3219.8,5407.3,42693.1,8282.3,2187.5,6768.9,157.6,37129.2,0.0,0.5,1998.3,680.7,1598.4,1581.7,1598.4,1605.5,0.0,0.0,16.3,1581.7,16.7,316.6,83.2,0.99,0.792,0.008,0.518
78,2020-04-06,78,Hospitals,82325.7,39151.8,4471.9,4517.8,43347.2,10280.6,45.9,8343.0,174.3,38656.2,0.0,0.5,1998.3,654.1,1574.1,1556.1,1574.1,1526.9,0.0,0.0,16.7,1556.1,18.0,342.3,81.9,0.989,0.807,0.008,0.527
79,2020-04-07,79,Hospitals,82308.7,38526.4,5569.2,3685.5,43972.6,12278.9,0.0,9887.5,191.3,40096.9,0.0,0.5,1998.3,625.4,1544.5,1524.8,1544.5,1440.7,0.0,0.0,17.0,1524.8,19.7,373.6,80.3,0.987,0.823,0.008,0.534
80,2020-04-08,80,Hospitals,82291.6,37954.0,8644.5,2893.1,44545.0,17091.4,0.0,13519.7,208.4,41444.6,0.0,0.5,4812.6,572.4,3632.2,3580.0,3632.2,1347.7,0.0,0.0,17.2,3580.0,52.2,991.9,188.4,0.986,0.84,0.007,0.541
81,2020-04-09,81,Hospitals,82274.3,37447.0,12212.9,2133.0,45052.0,23136.9,0.0,17952.5,225.7,42694.3,0.0,0.5,6045.4,506.9,4432.8,4360.1,4432.8,1249.8,0.0,0.0,17.2,4360.1,72.8,1383.1,229.5,0.984,0.858,0.006,0.548
82,2020-04-10,82,Hospitals,82257.1,37004.2,14529.6,1410.6,45494.8,28421.5,0.0,21490.5,242.9,43842.3,0.0,0.4,5284.7,442.8,3538.0,3455.6,3538.0,1148.0,0.0,0.0,17.2,3455.6,82.4,1564.8,181.9,0.977,0.896,0.005,0.553
83,2020-04-11,83,Hospitals,82240.1,36580.0,14821.4,774.5,45919.0,31818.4,0.0,23235.3,259.9,44885.6,0.0,0.4,3396.9,424.2,1744.9,1662.5,1744.9,1043.3,0.0,0.0,17.0,1662.5,82.3,1564.5,87.5,0.953,0.947,0.005,0.558
84,2020-04-12,84,Hospitals,82223.3,36175.1,13456.5,225.8,46323.9,33501.6,0.0,23352.5,276.7,45822.4,0.0,0.4,1683.2,404.9,117.2,34.9,117.2,936.8,0.0,0.0,16.8,34.9,82.3,1564.2,1.8,0.297,0.999,0.005,0.563
85,2020-04-13,85,Hospitals,82207.0,35554.7,12193.2,0.0,46693.3,35147.8,0.0,23434.8,293.0,46652.3,0.0,0.4,1646.2,369.3,82.3,0.0,82.3,829.8,0.0,0.0,16.4,0.0,82.3,1563.9,0.0,0.0,1.0,0.004,0.568
86,2020-04-14,86,Hospitals,82191.1,34811.7,11056.1,0.0,47027.5,36793.6,0.0,23517.1,308.9,47379.4,0.0,0.4,1645.8,334.2,82.3,0.0,82.3,727.2,0.0,0.0,15.9,0.0,82.3,1563.5,0.0,0.0,1.0,0.004,0.572
87,2020-04-15,87,Hospitals,82175.8,34167.3,10032.8,0.0,47329.2,38439.1,0.0,23599.4,324.2,48008.5,0.0,0.4,1645.5,301.7,82.3,0.0,82.3,629.1,0.0,0.0,15.3,0.0,82.3,1563.2,-0.0,0.0,1.0,0.004,0.576
88,2020-04-16,88,Hospitals,82161.2,33616.8,9111.8,0.0,47601.2,40084.2,0.0,23681.7,338.8,48544.4,0.0,0.4,1645.1,272.0,82.3,0.0,82.3,535.8,0.0,0.0,14.7,0.0,82.3,1562.9,0.0,0.0,1.0,0.003,0.579
89,2020-04-17,89,Hospitals,82147.2,33155.2,8282.8,0.0,47847.8,41729.0,0.0,23763.9,352.8,48992.1,0.0,0.4,1644.8,246.6,82.2,0.0,82.2,447.7,0.0,0.0,13.9,0.0,82.2,1562.6,0.0,0.0,1.0,0.003,0.582
90,2020-04-18,90,Hospitals,82134.1,32776.8,7536.8,0.0,48068.4,43373.5,0.0,23846.1,365.9,49357.3,0.0,0.4,1644.5,220.6,82.2,0.0,82.2,365.2,0.0,0.0,13.1,0.0,82.2,1562.2,0.0,0.0,1.0,0.003,0.585
91,2020-04-19,91,Hospitals,82121.8,32477.8,6865.3,0.0,48264.2,45017.6,0.0,23928.3,378.2,49644.0,0.0,0.4,1644.1,195.8,82.2,0.0,82.2,286.7,0.0,0.0,12.3,0.0,82.2,1561.9,0.0,0.0,1.0,0.002,0.588
92,2020-04-20,92,Hospitals,82110.4,32255.1,6261.0,0.0,48436.1,46661.5,0.0,24010.5,389.6,49855.3,0.0,0.4,1643.8,171.9,82.2,0.0,82.2,211.4,0.0,0.0,11.4,0.0,82.2,1561.6,-0.0,0.0,1.0,0.002,0.59
93,2020-04-21,93,Hospitals,82099.9,32104.8,5717.0,0.0,48585.5,48305.0,0.0,24092.7,400.1,49995.1,0.0,0.4,1643.5,149.3,82.2,0.0,82.2,139.8,0.0,0.0,10.5,0.0,82.2,1561.3,0.0,0.0,1.0,0.002,0.592
94,2020-04-22,94,Hospitals,82090.4,31977.0,5227.5,41.5,48713.2,49948.2,0.0,24174.9,409.6,50071.9,0.0,0.4,1643.2,127.8,82.2,0.0,82.2,76.8,0.0,0.0,9.5,0.0,82.2,1561.1,-0.0,0.0,1.0,0.002,0.593
95,2020-04-23,95,Hospitals,82081.8,31870.0,4786.9,117.6,48820.3,51591.1,0.0,24257.0,418.2,50094.2,0.0,0.4,1642.9,107.1,82.1,0.0,82.1,22.4,0.0,0.0,8.5,0.0,82.1,1560.8,0.0,0.0,1.0,0.001,0.595
96,2020-04-24,96,Hospitals,82074.3,31782.7,4390.3,197.3,48907.6,53233.8,0.0,24339.1,425.7,50094.2,0.0,0.4,1642.7,87.3,82.1,0.0,82.1,0.0,0.0,0.0,7.6,0.0,82.1,1560.5,0.0,0.0,1.0,0.001,0.596
